args_n args_k args_L args_iterations args_curve  net_file_size_bytes  runtime_setup_seconds runtime_file_generation_seconds  runtime_all_column_commitments_seconds runtime_per_column_commitment_seconds runtime_all_row_encodings_seconds runtime_per_row_encoding_seconds runtime_all_chunk_verifications_seconds runtime_per_chunk_verification_seconds  runtime_all_downloaded_chunk_verifications_seconds runtime_per_downloaded_chunk_verification_seconds runtime_all_row_decodings_seconds runtime_per_row_decoding_seconds runtime_prepare_decoding_seconds  num_column_commitments num_row_encodings num_chunk_verifications num_downloaded_chunk_verifications num_row_decodings  size_file_uncoded_bytes size_column_commitments_bytes size_file_coded_bytes  scenario_disperse_runtime_client_seconds scenario_disperse_runtime_node_seconds scenario_disperse_communication_bytes scenario_disperse_storage_bytes  scenario_retrieve_runtime_client_seconds  scenario_sampling_num_openings scenario_sampling_runtime_prover_seconds scenario_sampling_runtime_verifier_seconds scenario_sampling_runtime_proof_size_bytes   
128 32 4096 1 bn254  4145152  0.299306 0.013015  4.446563 0.138955 0.662317 0.000162 19.712419 0.154003  4.880339 0.152511 0.348703 0.000085 0.026505  32 4096 128 32 4096  4194304 2304 16777216  5.108880 0.154003 17072128 17072128  5.255547  32 0.149042 0.007708 2424
256 64 2048 1 bn254  4145152  0.174400 0.015643  5.087226 0.079488 0.571555 0.000279 23.662810 0.092433  5.118700 0.079980 0.691947 0.000338 0.107035  64 2048 256 64 2048  4194304 4608 16777216  5.658781 0.092433 17956864 17956864  5.917682  64 0.079042 0.007034 4728
512 128 1024 1 bn254  4145152  0.107809 0.016920  5.417573 0.042325 0.559716 0.000547 37.392981 0.073033  5.786347 0.045206 1.479313 0.001445 0.564079  128 1024 512 128 1024  4194304 9216 16777216  5.977289 0.073033 21495808 21495808  7.829739  128 0.046105 0.007856 9336
1024 256 512 1 bn254  4145152  0.064924 0.014837  6.760526 0.026408 0.542162 0.001059 92.463948 0.090297  7.802675 0.030479 3.067049 0.005990 3.468882  256 512 1024 256 512  4194304 18432 16777216  7.302688 0.090297 35651584 35651584  14.338607  256 0.031206 0.007770 18552
128 32 8192 1 bn254  8290304  0.553080 0.027932  7.724649 0.241395 1.286275 0.000157 32.200021 0.251563  8.031205 0.250975 0.699294 0.000085 0.026397  32 8192 128 32 8192  8388608 2304 33554432  9.010925 0.251563 33849344 33849344  8.756896  32 0.245443 0.009218 2424
256 64 4096 1 bn254  8290304  0.297969 0.028437  9.312932 0.145515 1.116558 0.000273 38.628710 0.150893  10.036777 0.156825 1.386349 0.000338 0.107045  64 4096 256 64 4096  8388608 4608 33554432  10.429490 0.150893 34734080 34734080  11.530170  64 0.146471 0.007115 4728
512 128 2048 1 bn254  8290304  0.180259 0.029208  10.009600 0.078200 1.023558 0.000500 55.150434 0.107716  10.531620 0.082278 2.956801 0.001444 0.567840  128 2048 512 128 2048  8388608 9216 33554432  11.033157 0.107716 38273024 38273024  14.056260  128 0.082239 0.008035 9336
1024 256 1024 1 bn254  8290304  0.105510 0.027364  10.688071 0.041750 1.072672 0.001048 107.438028 0.104920  11.931441 0.046607 6.095044 0.005952 3.469387  256 1024 1024 256 1024  8388608 18432 33554432  11.760743 0.104920 52428800 52428800  21.495872  256 0.046122 0.007871 18552
128 32 16384 1 bn254  16580608  0.994689 0.054342  13.611196 0.425350 2.606776 0.000159 56.543211 0.441744  14.296075 0.446752 1.398894 0.000085 0.026131  32 16384 128 32 16384  16777216 2304 67108864  16.217971 0.441744 67403776 67403776  15.721101  32 0.438171 0.008164 2424
256 64 8192 1 bn254  16580608  0.550679 0.057048  15.427620 0.241057 2.198419 0.000268 63.451944 0.247859  15.446274 0.241348 2.768580 0.000338 0.111313  64 8192 256 64 8192  16777216 4608 67108864  17.626039 0.247859 68288512 68288512  18.326167  64 0.241947 0.010568 4728
512 128 4096 1 bn254  16580608  0.297441 0.056369  18.405028 0.143789 2.051563 0.000501 86.409581 0.168769  17.997852 0.140608 5.908179 0.001442 0.568365  128 4096 512 128 4096  16777216 9216 67108864  20.456592 0.168769 71827456 71827456  24.474396  128 0.143977 0.007951 9336
1024 256 2048 1 bn254  16580608  0.182883 0.056871  21.023798 0.082124 2.025105 0.000989 152.465027 0.148892  22.362165 0.087352 12.992925 0.006344 3.580668  256 2048 1024 256 2048  16777216 18432 67108864  23.048903 0.148892 85983232 85983232  38.935757  256 0.085451 0.008666 18552
128 32 32768 1 bn254  33161216  1.784043 0.113005  25.258307 0.789322 5.225755 0.000159 102.577445 0.801386  25.313238 0.791039 2.791517 0.000085 0.025417  32 32768 128 32 32768  33554432 2304 134217728  30.484061 0.801386 134512640 134512640  28.130172  32 0.802532 0.007193 2424
256 64 16384 1 bn254  33161216  0.999265 0.111994  27.222432 0.425351 4.555134 0.000278 113.918667 0.444995  27.416875 0.428389 5.581673 0.000341 0.112602  64 16384 256 64 16384  33554432 4608 134217728  31.777566 0.444995 135397376 135397376  33.111150  64 0.436721 0.009028 4728
512 128 8192 1 bn254  33161216  0.552276 0.115792  32.646583 0.255051 4.091917 0.000500 137.318818 0.268201  32.057607 0.250450 12.643321 0.001543 0.596055  128 8192 512 128 8192  33554432 9216 134217728  36.738499 0.268201 138936320 138936320  45.296983  128 0.245236 0.009371 9336
1024 256 4096 1 bn254  33161216  0.301496 0.112745  37.383845 0.146031 4.277087 0.001044 203.451786 0.198683  38.813210 0.151614 24.058686 0.005874 3.467964  256 4096 1024 256 4096  33554432 18432 134217728  41.660933 0.198683 153092096 153092096  66.339860  256 0.142330 0.007626 18552
