args_n args_k args_L args_iterations args_curve  net_file_size_bytes  runtime_setup_seconds runtime_file_generation_seconds  runtime_all_column_commitments_seconds runtime_per_column_commitment_seconds runtime_all_row_encodings_seconds runtime_per_row_encoding_seconds runtime_all_chunk_verifications_seconds runtime_per_chunk_verification_seconds  runtime_all_downloaded_chunk_verifications_seconds runtime_per_downloaded_chunk_verification_seconds runtime_all_row_decodings_seconds runtime_per_row_decoding_seconds runtime_prepare_decoding_seconds  num_column_commitments num_row_encodings num_chunk_verifications num_downloaded_chunk_verifications num_row_decodings  size_file_uncoded_bytes size_column_commitments_bytes size_file_coded_bytes  scenario_disperse_runtime_client_seconds scenario_disperse_runtime_node_seconds scenario_disperse_communication_bytes scenario_disperse_storage_bytes  scenario_retrieve_runtime_client_seconds  scenario_sampling_num_openings scenario_sampling_runtime_prover_seconds scenario_sampling_runtime_verifier_seconds scenario_sampling_runtime_proof_size_bytes   
128 58 512 1 bls12-381  942848  0.126855 0.003132  3.571006 0.061569 0.084294 0.000165 10.776411 0.084191  3.847732 0.066340 0.135813 0.000265 0.086158  58 512 128 58 512  950272 6032 2097152  3.655300 0.084191 2869248 2869248  4.069702  58 0.060748 0.010592 6184
256 115 512 1 bls12-381  1869440  0.124791 0.005295  7.317941 0.063634 0.134187 0.000262 28.587123 0.111668  7.764821 0.067520 0.561060 0.001096 0.432765  115 512 256 115 512  1884160 11960 4194304  7.452128 0.111668 7256064 7256064  8.758645  115 0.060572 0.010625 12112
512 230 512 1 bls12-381  3738880  0.124225 0.012430  12.846060 0.055852 0.278745 0.000544 84.952448 0.165923  13.839053 0.060170 2.364139 0.004617 2.570657  230 512 512 230 512  3768320 23920 8388608  13.124805 0.165923 20635648 20635648  18.773849  230 0.057895 0.009032 24072
1024 461 512 1 bls12-381  7494016  0.131169 0.021627  26.960792 0.058483 0.538297 0.001051 293.134815 0.286264  28.314436 0.061420 10.042811 0.019615 17.338732  461 512 1024 461 512  7553024 47944 16777216  27.499089 0.286264 65871872 65871872  55.695979  461 0.059480 0.009061 48096
128 58 1024 1 bls12-381  1885696  0.202550 0.006372  4.891154 0.084330 0.161188 0.000157 14.482284 0.113143  5.104521 0.088009 0.271078 0.000265 0.087138  58 1024 128 58 1024  1900544 6032 4194304  5.052342 0.113143 4966400 4966400  5.462737  58 0.086528 0.009212 6184
256 115 1024 1 bls12-381  3738880  0.204954 0.012819  10.117187 0.087976 0.264297 0.000258 35.974229 0.140524  10.795444 0.093873 1.123515 0.001097 0.429346  115 1024 256 115 1024  3768320 11960 8388608  10.381484 0.140524 11450368 11450368  12.348305  115 0.089384 0.010736 12112
512 230 1024 1 bls12-381  7477760  0.205171 0.021736  19.987051 0.086900 0.483691 0.000472 99.851749 0.195023  20.509467 0.089172 4.693887 0.004584 2.572385  230 1024 512 230 1024  7536640 23920 16777216  20.470742 0.195023 29024256 29024256  27.775740  230 0.086782 0.009115 24072
1024 461 1024 1 bls12-381  14988032  0.204459 0.043746  42.247532 0.091643 1.014122 0.000990 322.567939 0.315008  45.480358 0.098656 19.867007 0.019401 17.353956  461 1024 1024 461 1024  15106048 47944 33554432  43.261653 0.315008 82649088 82649088  82.701321  461 0.090483 0.010615 48096
128 58 2048 1 bls12-381  3771392  0.333227 0.011656  8.895392 0.153369 0.338702 0.000165 22.378374 0.174831  8.903963 0.153517 0.537307 0.000262 0.085975  58 2048 128 58 2048  3801088 6032 8388608  9.234094 0.174831 9160704 9160704  9.527244  58 0.151229 0.009152 6184
256 115 2048 1 bls12-381  7477760  0.330843 0.025981  17.453436 0.151769 0.555062 0.000271 52.103406 0.203529  17.797704 0.154763 2.270028 0.001108 0.428552  115 2048 256 115 2048  7536640 11960 16777216  18.008498 0.203529 19838976 19838976  20.496284  115 0.151331 0.009404 12112
512 230 2048 1 bls12-381  14955520  0.328250 0.046187  34.747088 0.151074 0.967372 0.000472 133.512679 0.260767  36.078473 0.156863 9.309901 0.004546 2.569178  230 2048 512 230 2048  15073280 23920 33554432  35.714460 0.260767 45801472 45801472  47.957552  230 0.151439 0.009196 24072
1024 461 2048 1 bls12-381  29976064  0.333752 0.087734  71.604393 0.155324 2.036146 0.000994 392.732605 0.383528  74.914463 0.162504 39.684572 0.019377 17.310464  461 2048 1024 461 2048  30212096 47944 67108864  73.640539 0.383528 116203520 116203520  131.909499  461 0.156303 0.011150 48096
128 58 4096 1 bls12-381  7542784  0.559220 0.021608  16.460351 0.283799 0.647784 0.000158 39.027185 0.304900  15.802185 0.272451 1.086006 0.000265 0.087043  58 4096 128 58 4096  7602176 6032 16777216  17.108135 0.304900 17549312 17549312  16.975234  58 0.278396 0.010911 6184
256 115 4096 1 bls12-381  14955520  0.559104 0.045181  31.207683 0.271371 1.065630 0.000260 85.900185 0.335548  31.430862 0.273312 4.539345 0.001108 0.433106  115 4096 256 115 4096  15073280 11960 33554432  32.273313 0.335548 36616192 36616192  36.403313  115 0.276765 0.011813 12112
512 230 4096 1 bls12-381  29911040  0.555497 0.086612  66.714073 0.290061 2.169547 0.000530 193.863711 0.378640  66.187211 0.287770 18.531650 0.004524 2.571264  230 4096 512 230 4096  30146560 23920 67108864  68.883620 0.378640 79355904 79355904  87.290126  230 0.278138 0.011783 24072
1024 461 4096 1 bls12-381  59952128  0.561262 0.172906  124.653558 0.270398 4.039789 0.000986 517.781708 0.505646  127.584583 0.276756 79.357171 0.019374 17.308796  461 4096 1024 461 4096  60424192 47944 134217728  128.693347 0.505646 183312384 183312384  224.250550  461 0.277002 0.011838 48096
